epoch,accuracy,loss,val_accuracy,val_loss
0,0.29083332419395447,1.5729082822799683,0.3100000023841858,1.4043841361999512
1,0.4741666615009308,1.2844862937927246,0.6050000190734863,1.0940357446670532
2,0.6158333420753479,1.075502872467041,0.7799999713897705,0.9013220071792603
3,0.7200000286102295,0.9235109686851501,0.9049999713897705,0.7654446363449097
4,0.778333306312561,0.8118081092834473,0.9100000262260437,0.6586571335792542
5,0.8366666436195374,0.6951526403427124,0.9300000071525574,0.5729758143424988
6,0.8475000262260437,0.633320152759552,0.949999988079071,0.5023826360702515
7,0.8533333539962769,0.5690392255783081,0.9649999737739563,0.4464031159877777
8,0.8866666555404663,0.5287519097328186,0.9649999737739563,0.39975619316101074
9,0.8949999809265137,0.47609832882881165,0.9750000238418579,0.3602777421474457
10,0.9141666889190674,0.4474375545978546,0.9750000238418579,0.3266414403915405
11,0.9108333587646484,0.4174080789089203,0.9750000238418579,0.29844266176223755
12,0.9150000214576721,0.40678051114082336,0.9750000238418579,0.2757472097873688
13,0.9333333373069763,0.37170982360839844,0.9750000238418579,0.2553015649318695
14,0.934166669845581,0.3533569276332855,0.9800000190734863,0.23688393831253052
15,0.9416666626930237,0.34620970487594604,0.9850000143051147,0.2226330190896988
16,0.9399999976158142,0.31943416595458984,0.9850000143051147,0.20916002988815308
17,0.9466666579246521,0.3040963113307953,0.9900000095367432,0.19718968868255615
18,0.9366666674613953,0.30359792709350586,0.9950000047683716,0.18873699009418488
19,0.9433333277702332,0.29351070523262024,0.9950000047683716,0.17980393767356873
