epoch,accuracy,loss,val_accuracy,val_loss
0,0.9558333158493042,0.2775843143463135,0.9950000047683716,0.1839628368616104
1,0.9541666507720947,0.27265968918800354,0.9950000047683716,0.17883285880088806
2,0.9524999856948853,0.2720178961753845,0.9950000047683716,0.17395548522472382
3,0.9516666531562805,0.2860561013221741,0.9950000047683716,0.17026594281196594
4,0.9441666603088379,0.27362164855003357,0.9950000047683716,0.16661550104618073
5,0.9541666507720947,0.265687495470047,0.9950000047683716,0.16379691660404205
6,0.9541666507720947,0.2667776048183441,0.9950000047683716,0.1616867035627365
7,0.9649999737739563,0.24599716067314148,0.9950000047683716,0.1589747965335846
8,0.9641666412353516,0.24463948607444763,0.9950000047683716,0.1562507301568985
9,0.9524999856948853,0.2634928822517395,0.9950000047683716,0.15309011936187744
